Food Code,Food Name,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg)
13-389,Turnip,92.15,0.12,0.75,0.25,3.35,17.5,74.5,0.15,0.0,3.2,1.6,0.0,1.2,0.45,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-392,Turnip tops,92.8,0.43,2.7,0.0,0.2,13.0,53.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-694,Twiglets,3.2,2.16,12.3,11.8,63.3,393.0,1659.0,62.7,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,10.3,12.4,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-547,Tzatziki,85.6,0.54,3.4,5.5,3.4,76.0,314.0,0.4,0.0,3.0,0.4,0.5,0.3,0.0,0.0,1.9,0.0,0.3,0.3,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.11,8.8
12-468,Urad dahl,74.7,0.77,4.8,3.2,8.7,81.0,340.0,7.9,0.0,0.8,0.2,0.0,0.3,0.3,0.0,0.0,0.0,3.3,2.7,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.01,2.1
18-094,Veal,66.9,4.12,25.75,6.65,0.0,162.75,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.075,2.49,9.005,0.635,0.3975,0.0475,19.8825,1.665,44.325,2.745,9.0525,0.635,15.2,0.875,18.22,1.605,0.4225,0.0375,2.8725,0.205,76.0
15-656,Vegeburger,63.7,2.91,16.6,7.2,8.0,161.0,677.0,4.4,0.0,3.6,0.5,0.0,0.4,1.8,0.9,0.0,0.0,4.2,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-657,Vegetable and cheese grill/burger,53.6,1.12,7.0,14.0,23.0,240.0,1005.0,18.6,3.1,1.3,0.2,0.0,0.2,0.2,0.3,0.4,0.0,1.6,0.0,0.0,4.64,22.76,2.78,2.58,0.32,30.11,3.68,0.0,4.35,24.08,2.94,0.0,2.95,38.02,4.64,0.0,0.0,6.71,0.82,0.0
15-650,Vegetable bake,74.5,0.68,4.3,5.9,13.7,121.0,509.0,8.9,0.3,4.6,0.6,0.0,0.6,1.2,0.2,1.9,0.0,0.9,1.2,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.11,8.3
15-344,Vegetable stir fry mix,83.8,0.32,2.0,3.6,6.4,64.0,270.0,2.5,0.0,3.9,1.4,0.0,1.2,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2467,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-543,Vegetables,84.5,0.38,2.375,3.375,5.425,60.0,252.0,2.55,0.075,2.775,0.8,0.0,0.8,1.125,0.05,0.0,0.0,1.0,1.35,0.0,0.375,2.08,0.075,1.5975,0.0575,15.0925,0.5425,0.0,1.1275,3.9225,0.14,0.0,0.6275,5.3575,0.1925,0.0,0.0,0.0475,0.005,0.85
18-390,Venison,67.4,4.625,28.9,2.05,0.0,134.0,567.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.2,0.0,0.0,12.1,0.2,0.0,0.0,0.0,0.0,2.05,0.05,25.0
19-610,Venison in red wine and port,80.0,1.56,9.7,2.5,3.4,88.0,369.0,1.6,0.0,1.6,0.5,0.0,0.4,0.5,0.0,0.0,2.3,0.4,0.6,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.1,25.1
17-239,Vermouth,82.1,0.01,0.1,0.0,3.0,109.0,453.0,0.0,0.0,3.0,1.1,0.0,1.2,0.7,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-823,Vine leaves,49.6,0.43,2.6,17.8,23.8,263.0,1094.0,12.4,0.0,10.5,5.0,0.0,4.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-339,Vinegar,0.0,0.07,0.4,0.0,0.6,22.0,89.0,0.0,0.0,0.6,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-800,Wafers,5.7,1.84,10.5,3.0,79.7,368.0,1565.0,76.2,0.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,2.1,3.4,20.7,0.59,69.96,1.15,5.44,0.16,33.1,0.94,33.1,0.95,45.5,1.31,45.5,1.31,20.7,0.6,0.0,0.0,0.2,0.0,4.1
11-1130,Waffles,32.5,1.51,9.0,15.3,43.0,335.0,1408.0,39.5,0.0,3.4,0.0,0.0,0.0,0.2,0.0,3.1,0.0,1.7,1.9,0.0,8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.47,95.8
14-879,Walnuts,2.0,1.98,10.5,48.95,2.35,491.5,2027.0,0.5,0.0,1.85,0.15,0.0,0.15,1.55,0.0,0.0,0.0,2.5,0.0,0.0,5.34,30.5,19.645,5.7,3.735,8.15,5.335,0.0,7.63,35.7,23.38,0.0,33.435,5.7,3.735,0.0,0.0,0.0,0.0,0.0
17-377,Water,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-394,Water chestnuts,79.8,0.22,1.4,0.2,10.4,46.0,198.0,5.6,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-669,Watercress,0.0,0.0,0.0,0.0,0.0,10.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-1131,Welsh cakes,12.4,0.94,5.5,17.8,61.9,432.0,1816.0,30.2,0.0,31.5,5.1,0.0,4.9,20.8,0.0,0.6,0.0,1.5,1.7,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.57,73.3
11-1132,Welsh cheesecakes,21.0,0.91,5.3,23.8,49.2,420.0,1760.0,26.7,0.0,22.5,3.6,0.0,1.9,15.7,1.2,0.0,0.0,1.2,1.9,0.0,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.29,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.03,46.5
12-602,Welsh rarebit,31.2,2.29,14.15,27.9,22.6,392.5,1634.0,20.15,0.0,2.25,0.05,0.0,0.15,0.0,1.3,0.8,0.0,1.7,2.35,0.0,16.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.325,0.0,0.0,0.0,1.235,0.0,0.0,0.0,0.0,0.0,1.03,71.9
